timestamp,match_id,home_team,away_team,signal_minute,signal_probability,match_minute,score,xg_total
2026-03-11T21:15:37.620535,1413906,Os Marialvas,Marinhense,45,68.31799779168199,11,0:0,
2026-03-11T21:16:06.622703,1398610,Keçiörengücü,Sakaryaspor,90,78.80921052631581,48,1:1,
2026-03-11T21:16:37.631336,1421622,Dijon W,Saint-Étienne W,45,78.76657810391366,16,1:0,
2026-03-11T21:17:07.812067,1421624,Nantes W,FC Fleury 91 W,75,66.91991396761134,16,0:0,
2026-03-11T21:17:37.882156,1431349,Antequera,Algeciras,45,76.5831229657855,17,1:0,
2026-03-11T21:18:07.775522,1421624,Nantes W,FC Fleury 91 W,60,65.25303643724696,17,0:0,
2026-03-11T21:20:07.663043,1413906,Os Marialvas,Marinhense,60,69.56180042867348,17,0:0,
2026-03-11T21:23:07.713500,1421622,Dijon W,Saint-Étienne W,60,81.70903010033445,23,1:0,
2026-03-11T21:23:37.825688,1431349,Antequera,Algeciras,60,86.81354515050167,23,1:0,
2026-03-11T21:27:07.912027,1421626,Lens W,Montpellier W,90,62.439473684210526,25,1:0,
2026-03-11T21:32:37.657279,1413906,Os Marialvas,Marinhense,75,73.77216250174507,29,0:0,
2026-03-11T21:34:37.839661,1421626,Lens W,Montpellier W,75,51.933198380566814,33,2:0,
2026-03-11T21:36:37.749626,1421622,Dijon W,Saint-Étienne W,75,80.47368421052632,36,1:0,
2026-03-11T21:37:36.795585,1429586,Orlando Pirates,Richards Bay,90,79.46507064364206,49,1:0,
2026-03-11T21:38:37.858066,1431349,Antequera,Algeciras,75,80.76872469635626,38,2:0,
2026-03-11T21:39:37.214319,1521243,Shabab Al Ahli Dubai,Al-Ittihad Kalba,90,83.57586961910272,49,2:0,
2026-03-11T21:40:37.656252,1413906,Os Marialvas,Marinhense,90,66.67769996717365,37,0:0,
2026-03-11T21:46:07.109995,1521239,Sharjah FC,Al Nasr,90,83.05906593406593,56,0:1,
2026-03-11T21:46:37.836654,1421624,Nantes W,FC Fleury 91 W,90,71.26518218623481,45,0:0,
2026-03-11T22:05:38.828506,1417178,Charlton Athletic W,Portsmouth W,30,57.60711875843454,5,0:1,
2026-03-11T22:06:37.554011,1421622,Dijon W,Saint-Étienne W,90,81.52024291497976,50,1:0,
2026-03-11T22:07:09.003961,1417178,Charlton Athletic W,Portsmouth W,45,75.8421052631579,6,0:1,
2026-03-11T22:08:37.697717,1431349,Antequera,Algeciras,90,80.77514792899409,52,2:0,
2026-03-11T22:10:08.756990,1392771,KAA Gent II,Lommel United,60,50.877192982456144,9,0:0,
2026-03-11T22:10:38.804172,1392776,Olympic Charleroi,Seraing United,60,53.94736842105263,8,0:0,
2026-03-11T22:11:08.798967,1392771,KAA Gent II,Lommel United,45,71.01214574898785,9,0:0,
2026-03-11T22:11:38.773179,1392776,Olympic Charleroi,Seraing United,45,77.42029352226722,8,0:0,
2026-03-11T22:13:20.916062,1417178,Charlton Athletic W,Portsmouth W,60,73.74880099657427,13,0:2,
2026-03-11T22:17:00.719976,1392770,SK Beveren,RWDM,60,58.12753036437247,15,0:0,
2026-03-11T22:41:19.779155,1392770,SK Beveren,RWDM,75,95.0,40,3:1,
2026-03-11T22:43:39.877340,1392770,SK Beveren,RWDM,90,95.0,42,3:1,
2026-03-11T22:45:00.559258,1418897,Masr,Future FC,60,60.39001349527666,13,0:0,
2026-03-11T22:46:00.692701,1505732,Atlètic Club d'Escaldes,Esperança d'Andorra,60,76.96594427244582,17,1:0,
2026-03-11T22:52:19.957795,1392771,KAA Gent II,Lommel United,90,82.23205128205129,45,1:0,
2026-03-11T22:52:39.789448,1392776,Olympic Charleroi,Seraing United,90,82.23205128205129,45,0:1,
2026-03-11T22:56:40.526203,1386985,Birmingham,QPR,60,71.02935222672066,11,1:0,
2026-03-11T22:57:20.660939,1386991,West Brom,Southampton,60,64.57213838792785,12,0:0,
2026-03-11T22:58:40.579312,1387403,AFC Wimbledon,Blackpool,60,61.87844611528822,14,1:0,
2026-03-11T23:02:20.271095,1387325,Port Vale,Bradford,60,57.197507343018174,17,0:0,
2026-03-11T23:07:19.598537,1505732,Atlètic Club d'Escaldes,Esperança d'Andorra,90,93.6,38,2:0,
2026-03-11T23:08:00.301406,1386994,Coventry,Preston,60,80.0,8,0:0,
2026-03-11T23:09:20.443403,1528318,Real Madrid,Manchester City,60,59.92481203007518,7,0:0,
2026-03-11T23:12:19.145574,1417178,Charlton Athletic W,Portsmouth W,90,65.94655870445344,54,0:2,
2026-03-11T23:12:40.602378,1528320,Paris Saint Germain,Chelsea,60,86.28947368421053,11,1:0,
2026-03-11T23:18:39.960172,1386992,Middlesbrough,Charlton,90,72.23776223776223,33,0:0,
2026-03-11T23:19:40.146170,1387325,Port Vale,Bradford,75,80.66666666666667,34,0:1,
2026-03-11T23:22:19.950115,1386985,Birmingham,QPR,90,88.00000000000001,37,1:0,
2026-03-11T23:23:20.159999,1387325,Port Vale,Bradford,90,81.40000000000002,38,0:1,
2026-03-11T23:28:20.300859,1386994,Coventry,Preston,75,88.00000000000001,27,1:0,
2026-03-11T23:28:40.529378,1528325,Bodo/Glimt,Sporting CP,60,50.80348927875242,28,0:0,
2026-03-11T23:29:20.115491,1387403,AFC Wimbledon,Blackpool,90,79.20000000000002,44,1:0,
2026-03-11T23:31:40.369517,1528320,Paris Saint Germain,Chelsea,90,90.4,30,1:1,
2026-03-11T23:33:59.786374,1386991,West Brom,Southampton,90,84.19230769230771,45,1:0,
2026-03-11T23:34:19.829749,1386993,Oxford United,Blackburn,90,87.36538461538463,45,1:0,
2026-03-11T23:35:20.699701,1491953,Argentinos JRS,Rosario Central,60,65.0,5,0:0,
2026-03-11T23:41:20.283882,1386994,Coventry,Preston,90,95.0,41,2:0,
2026-03-11T23:47:59.452476,1418897,Masr,Future FC,90,52.621304713161706,53,0:0,
2026-03-11T23:57:39.168397,1386984,Norwich,Sheffield Utd,90,58.833333333333336,55,0:1,
2026-03-12T00:07:00.142916,1491955,Banfield,Gimnasia L.P.,90,67.61336032388662,36,0:2,
2026-03-12T00:10:40.202850,1491953,Argentinos JRS,Rosario Central,90,73.02834008097166,40,0:0,
2026-03-12T00:11:19.886749,1528318,Real Madrid,Manchester City,90,84.42739159218802,53,3:0,
2026-03-12T00:12:39.774976,1511898,Bogota FC,Tigres FC,90,64.07481940144478,51,0:0,
2026-03-12T00:13:20.003181,1528325,Bodo/Glimt,Sporting CP,90,60.88757396449706,52,2:0,
2026-03-12T00:13:40.344968,1499185,Mictlán,Aurora,60,53.1578947368421,10,0:0,
2026-03-12T01:04:39.354925,1511902,Union Magdalena,Real Soacha,60,65.0,5,0:0,
2026-03-12T01:05:39.269985,1492151,Atletico-MG,Internacional,60,86.53333333333335,5,1:0,
2026-03-12T01:09:39.544857,1526634,Sporting Cristal,Carabobo FC,60,67.10000000000001,9,0:1,
2026-03-12T01:31:19.188762,1492151,Atletico-MG,Internacional,90,72.36842105263158,30,1:0,
2026-03-12T01:31:39.238656,1511902,Union Magdalena,Real Soacha,90,76.40240384615386,32,1:0,
2026-03-12T01:39:39.759390,1528143,Maringá,Uberlandia,60,77.00000000000001,9,1:0,
2026-03-12T01:43:19.329812,1526634,Sporting Cristal,Carabobo FC,90,86.88120300751879,42,0:2,
2026-03-12T01:44:39.711285,1529477,Manauara,Fortaleza EC,60,55.35087719298245,15,0:0,
2026-03-12T01:52:40.068716,1511900,Depor FC,Orsomarso,60,68.92481203007519,7,0:0,
2026-03-12T01:56:19.872145,1491956,Boca Juniors,San Lorenzo,60,51.72248803827751,11,0:0,
2026-03-12T02:07:19.788433,1492152,Bahia,Vitoria,60,65.9172932330827,7,1:0,
2026-03-12T02:07:40.200275,1529481,Santa Catarina,Jacuipense,60,58.35087719298245,6,0:0,
2026-03-12T02:11:39.559334,1528143,Maringá,Uberlandia,90,77.00000000000001,41,1:0,
2026-03-12T02:13:00.186409,1528140,Confiança,Tombense,60,71.50000000000001,12,1:0,
2026-03-12T02:18:59.899805,1501171,São José EC,Oratório,60,61.59875367150909,17,0:0,
2026-03-12T02:19:59.663279,1530082,Goias,Fluminense PI,90,62.21457489878542,45,1:0,
2026-03-12T02:20:19.997496,1511901,Ind. Yumbo,Barranquilla,60,60.86675189999289,19,0:0,
2026-03-12T02:31:20.337474,1528140,Confiança,Tombense,90,79.9114971050455,31,1:0,
2026-03-12T02:38:20.343016,1529476,Castanhal,Nova Iguaçu,90,78.25952380952381,35,0:3,
2026-03-12T02:52:39.897675,1492152,Bahia,Vitoria,90,91.84615384615384,45,1:1,
2026-03-12T02:56:39.750525,1511900,Depor FC,Orsomarso,90,76.91174089068825,54,1:1,
2026-03-12T03:12:59.738436,1501171,São José EC,Oratório,90,88.40485829959513,50,1:1,
2026-03-12T03:15:40.247340,1511901,Ind. Yumbo,Barranquilla,90,64.26604097656728,55,0:0,
2026-03-12T03:21:40.177381,1529481,Santa Catarina,Jacuipense,90,41.137359187442286,57,0:0,
2026-03-12T03:31:40.008373,1526646,CD Motagua,Lobos Upnfm,90,71.60144360902255,56,2:0,
2026-03-12T03:37:40.171343,1492154,Flamengo,Cruzeiro,60,77.00000000000001,8,1:0,
2026-03-12T03:38:00.257780,1528292,Deportes Tolima,O'Higgins,60,50.0,8,0:0,
2026-03-12T03:38:20.337237,1530083,Paysandu,Portuguesa RJ,60,55.00000000000001,6,0:0,
2026-03-12T03:41:00.310672,1529478,Manaus FC,Londrina,60,57.58097165991902,10,0:0,
2026-03-12T03:58:19.844102,1492154,Flamengo,Cruzeiro,90,77.73333333333335,29,1:0,
2026-03-12T03:59:39.909584,1530083,Paysandu,Portuguesa RJ,90,61.73076923076923,27,0:0,
2026-03-12T04:10:59.965830,1493351,Atlético San Luis W,Puebla W,60,72.66666666666667,9,0:0,
2026-03-12T04:12:39.701282,1491954,Atletico Tucuman,Aldosivi,60,71.33333333333334,12,0:0,
2026-03-12T04:17:39.592456,1528292,Deportes Tolima,O'Higgins,90,77.84615384615385,45,1:0,
2026-03-12T04:27:39.796450,1493351,Atlético San Luis W,Puebla W,75,92.80000000000001,26,2:0,
2026-03-12T04:34:59.621537,1491954,Atletico Tucuman,Aldosivi,90,73.34014447884418,34,0:1,
2026-03-12T04:37:19.654623,1491963,Independ. Rivadavia,Barracas Central,90,76.0452182952183,37,0:1,
2026-03-12T04:37:39.916490,1528309,Los Angeles Galaxy,Mount Pleasant Academy,60,71.50000000000001,7,1:0,
2026-03-12T04:38:19.809638,1493351,Atlético San Luis W,Puebla W,90,88.80000000000001,37,2:0,
2026-03-12T04:52:59.887141,1526647,Real Espana,Victoria,60,60.09725400457666,23,1:0,
2026-03-12T05:03:40.016381,1528309,Los Angeles Galaxy,Mount Pleasant Academy,90,77.25120192307693,32,1:0,
2026-03-12T06:42:39.619711,1521525,San Diego,Toluca,60,65.92442645074225,12,0:0,
2026-03-12T07:39:59.674237,1521525,San Diego,Toluca,90,83.9717329036878,49,2:1,
2026-03-12T17:24:46.924986,1398605,Boluspor,Çorum FK,90,32.02426461988304,64,0:1,
2026-03-12T17:25:12.624500,1403786,Persis Solo,Bali United,90,92.0,45,2:0,
2026-03-12T17:36:27.090764,1485226,Dewa United,Manila Digger,90,53.834775641025644,48,0:1,
2026-03-12T17:36:47.841663,1531149,Serie D Viareggio Team,Academy Potey Keahson Viareggio Team,60,0.0,45,0:0,
2026-03-12T18:13:12.065642,1515992,Olmaliq,Sogdiana,90,65.01792943898207,42,0:0,
2026-03-12T18:30:30.238007,1515991,Dinamo Samarqand,Nasaf,90,73.33333333333334,31,0:0,
2026-03-13T12:06:22.573897,1469676,Brisbane Roar,Western Sydney Wanderers,90,91.00000000000001,45,1:2,
2026-03-13T13:17:29.504697,1523696,Broadmeadow Magic,Adamstown Rosebuds,90,83.43181818181819,55,2:1,
2026-03-13T13:19:29.281411,1523697,Belmont Swansea,Weston Bears,90,95.0,55,2:3,
2026-03-13T13:22:01.294268,1523987,WDSC Wolves,Peninsula Power,90,90.25,45,1:2,
2026-03-13T13:23:01.424353,1519005,Rostov U19,Krasnodar U19,90,91.13461538461539,20,2:2,
2026-03-13T13:26:01.407351,1531616,Australia W,Korea DPR,60,62.53744939271255,25,1:0,
2026-03-13T13:48:01.202207,1531616,Australia W,Korea DPR,90,72.65789473684212,45,1:0,
2026-03-13T14:58:14.584445,1523067,Wuhan Three Towns,Dalian Zhixing,60,67.67482517482519,22,0:0,
2026-03-13T15:08:55.305015,1523067,Wuhan Three Towns,Dalian Zhixing,90,84.00000000000001,33,2:0,
2026-03-13T15:12:55.215639,1391569,SK Poltava,Karpaty,90,64.37246963562752,50,0:2,
2026-03-13T15:18:55.455750,1491264,Nakhon Ratchasima FC,Chiangrai United,60,76.55203619909503,17,1:0,
2026-03-13T15:30:55.392334,1491089,Khon Kaen United,Nakhon Pathom,90,51.005615776413734,31,0:0,
2026-03-13T15:31:55.379281,1491264,Nakhon Ratchasima FC,Chiangrai United,90,73.84880636604775,30,1:0,
2026-03-13T16:05:55.617433,1457678,Mashujaa,Fountain Gate,45,70.0,5,0:0,
2026-03-13T16:13:55.695217,1457678,Mashujaa,Fountain Gate,60,70.0,12,0:0,
2026-03-13T16:21:55.744845,1516280,Police,NEC,60,50.43706293706294,22,0:0,
2026-03-13T16:25:55.849972,1516279,Kitara,Buhimba Saints,60,58.24140350877194,26,2:0,
2026-03-13T16:35:55.748481,1516280,Police,NEC,90,59.32692307692308,36,0:0,
2026-03-13T16:48:55.796948,1396012,Sokół Kleczew,Świt Skolwin,90,66.05263157894737,45,0:0,
2026-03-13T17:12:55.994011,1516279,Kitara,Buhimba Saints,90,72.64507422402158,54,4:0,
2026-03-13T17:16:56.064407,1404224,Pdrm,Negeri Sembilan,60,68.52601809954751,17,0:1,
2026-03-13T17:31:56.085741,1404224,Pdrm,Negeri Sembilan,90,72.58808933002481,31,1:1,
2026-03-13T17:34:56.084249,1513430,Khenchela,JS Kabylie,60,69.59276018099547,17,0:0,
2026-03-13T17:53:56.097222,1513430,Khenchela,JS Kabylie,90,70.0,37,0:0,
2026-03-13T17:57:55.680832,1396009,Rekord Bielsko-Biała,Unia Skierniewice,90,69.06015037593986,42,0:0,
2026-03-13T18:09:56.338664,1445904,Araz,Karvan,90,62.66077545935846,39,1:0,
2026-03-13T18:13:56.296551,1478303,Rio Ave W,Vitoria Guimaraes W,60,55.00000000000001,12,0:0,
2026-03-13T18:41:56.385766,1478303,Rio Ave W,Vitoria Guimaraes W,90,55.00000000000001,39,0:0,
2026-03-13T19:10:56.112877,1519007,Rodina Moscow U19,Zenit U19,60,60.50000000000001,11,0:1,
2026-03-13T19:23:56.072418,1519007,Rodina Moscow U19,Zenit U19,90,69.74331103678931,23,0:1,
2026-03-13T19:25:56.165242,1391572,Dynamo Kyiv,Obolon'-Brovar,60,61.881050871325485,23,0:1,
2026-03-13T19:30:56.227357,1391572,Dynamo Kyiv,Obolon'-Brovar,90,77.00000000000001,28,0:1,
2026-03-13T19:34:56.376033,1391572,Dynamo Kyiv,Obolon'-Brovar,75,84.00000000000001,32,1:1,
2026-03-13T19:35:56.490782,1530917,Uta Arad,AFC Hermannstadt,90,64.303819750044,46,2:0,
2026-03-13T19:43:56.375796,1515779,FK Liepaja,Rīgas FS,90,67.94736842105263,44,0:1,
